"filename", "language", "pip requirements", "Python", "HTML", "Markdown", "comment", "blank", "total"
"d:\django projects\Full project code\adnan-game-animal\templates\endAdmin.html", "HTML", 0, 0, 329, 0, 0, 42, 371
"d:\django projects\Full project code\adnan-game-animal\templates\end_quiz_qr.html", "HTML", 0, 0, 251, 0, 1, 47, 299
"d:\django projects\Full project code\adnan-game-animal\templates\game.html", "HTML", 0, 0, 812, 0, 0, 167, 979
"d:\django projects\Full project code\adnan-game-animal\templates\gamequiz.html", "HTML", 0, 0, 192, 0, 0, 47, 239
"d:\django projects\Full project code\adnan-game-animal\templates\join.html", "HTML", 0, 0, 64, 0, 9, 27, 100
"d:\django projects\Full project code\adnan-game-animal\templates\joinqr.html", "HTML", 0, 0, 50, 0, 8, 25, 83
"d:\django projects\Full project code\adnan-game-animal\templates\joinquiz.html", "HTML", 0, 0, 63, 0, 9, 28, 100
"d:\django projects\Full project code\adnan-game-animal\templates\last_quiz.html", "HTML", 0, 0, 30, 0, 0, 12, 42
"d:\django projects\Full project code\adnan-game-animal\templates\last_quiz_preview.html", "HTML", 0, 0, 251, 0, 1, 47, 299
"d:\django projects\Full project code\adnan-game-animal\templates\login.html", "HTML", 0, 0, 177, 0, 85, 18, 280
"d:\django projects\Full project code\adnan-game-animal\templates\myaccount.html", "HTML", 0, 0, 13, 0, 74, 4, 91
"d:\django projects\Full project code\adnan-game-animal\templates\myactivity.html", "HTML", 0, 0, 269, 0, 3, 81, 353
"d:\django projects\Full project code\adnan-game-animal\templates\mygames.html", "HTML", 0, 0, 38, 0, 0, 16, 54
"d:\django projects\Full project code\adnan-game-animal\templates\password_enter.html", "HTML", 0, 0, 18, 0, 3, 5, 26
"d:\django projects\Full project code\adnan-game-animal\templates\played.html", "HTML", 0, 0, 10, 0, 0, 5, 15
"d:\django projects\Full project code\adnan-game-animal\templates\playedas.html", "HTML", 0, 0, 32, 0, 0, 8, 40
"d:\django projects\Full project code\adnan-game-animal\templates\qrcodes.html", "HTML", 0, 0, 18, 0, 0, 3, 21
"d:\django projects\Full project code\adnan-game-animal\templates\quiz.html", "HTML", 0, 0, 262, 0, 0, 61, 323
"d:\django projects\Full project code\adnan-game-animal\templates\quiz_data.html", "HTML", 0, 0, 121, 0, 4, 30, 155
"d:\django projects\Full project code\adnan-game-animal\templates\quizlist.html", "HTML", 0, 0, 81, 0, 1, 22, 104
"d:\django projects\Full project code\adnan-game-animal\templates\room.html", "HTML", 0, 0, 108, 0, 0, 28, 136
"d:\django projects\Full project code\adnan-game-animal\templates\roomAdmin.html", "HTML", 0, 0, 99, 0, 0, 18, 117
"d:\django projects\Full project code\adnan-game-animal\templates\signup.html", "HTML", 0, 0, 88, 0, 4, 20, 112
"d:\django projects\Full project code\adnan-game-animal\templates\startquiz.html", "HTML", 0, 0, 344, 0, 0, 92, 436
"d:\django projects\Full project code\adnan-game-animal\templates\startquiz_qr.html", "HTML", 0, 0, 849, 0, 3, 226, 1078
"d:\django projects\Full project code\adnan-game-animal\templates\startroom.html", "HTML", 0, 0, 950, 0, 0, 279, 1229
"d:\django projects\Full project code\adnan-game-animal\templates\type.html", "HTML", 0, 0, 74, 0, 0, 23, 97
"d:\django projects\Full project code\adnan-game-animal\templates\view_questions.html", "HTML", 0, 0, 269, 0, 0, 61, 330
"d:\django projects\Full project code\adnan-game-animal\templates\waiting.html", "HTML", 0, 0, 102, 0, 0, 22, 124
"d:\django projects\Full project code\adnan-game-animal\templates\waitingquiz.html", "HTML", 0, 0, 104, 0, 0, 25, 129
"Total", "-", 201, 5481, 7286, 3, 1205, 3270, 17446
